date,temperature_mean_c,temperature_max_c,temperature_min_c,relative_humidity_pct,precipitation_mm,wind_speed_10m_m_s,surface_pressure_hpa,shortwave_radiation_mean_w_m2,available_weather_hours,wind_direction_10m_deg,surface_pressure_kpa,shortwave_radiation_kwh_m2_day,weather_data_status,pm25_ug_m3,month,day_of_week,day_of_year,wet_season,month_sin,month_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,wind_direction_sin,wind_direction_cos,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_7,pm25_lag_14,pm25_rolling_mean_3,pm25_rolling_std_3,pm25_rolling_mean_7,pm25_rolling_std_7,pm25_rolling_mean_14,pm25_rolling_std_14,pm25_previous_day_change,pm25_3day_vs_14day,target_pm25_ug_m3
2023-05-06,24.77083333333333,29.8,22.0,89.91666666666667,4.5,0.9608333333333332,1003.7833333333332,197.75,24,24.603408799084814,100.37833333333332,4.746,Complete,2.8754315,5,5,126,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.8271893372462497,-0.5619233046832195,0.4163348863146029,0.9092113409089256,5.9748545,9.284961,11.634761,1.9984157,5.3432956,8.964858833333333,2.843498627573815,7.384105457142857,3.7521783740409598,5.850081950000001,3.0816494754861123,-3.310106499999999,3.114776883333332,2.8754315
2023-05-07,24.59166666666667,31.1,21.7,91.04166666666669,8.6,1.1304166666666666,1003.425,225.16666666666663,24,327.5762948679932,100.3425,5.404,Complete,4.7117686,5,6,127,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.8174009818249189,-0.5760691233798758,-0.5361760750995647,0.8441061642298473,2.8754315,5.9748545,9.284961,4.779608,4.8582826,6.045082333333332,3.205341801473537,7.509393428571428,3.5516583559621813,5.673805942857142,3.18182353415277,-3.0994230000000003,0.37127639047619,4.7117686
2023-05-08,23.808333333333334,30.9,20.2,89.20833333333333,2.3,1.1870833333333335,1002.3208333333332,221.41666666666663,24,268.823239212003,100.23208333333334,5.314,Complete,4.0849743,5,0,128,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.8073707443023492,-0.5900444739548627,-0.9997890954981896,-0.020536906361765632,4.7117686,2.8754315,5.9748545,5.866241,2.3199434,4.520684866666666,1.5585218888712216,7.4997020857142855,3.560430245662493,5.663340657142856,3.184951602672807,1.8363371000000002,-1.1426557904761907,4.0849743
2023-05-09,23.854166666666668,29.8,20.2,86.0,0.0,1.09875,1003.2125,233.79166666666663,24,237.0713190892773,100.32125,5.611,Complete,1.4751649,5,1,129,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.7971015927871943,-0.6038452208771035,-0.8393478590814385,-0.5435946757055349,4.0849743,4.7117686,2.8754315,12.149897,4.5608673,3.890724799999999,0.9334522684084046,7.245235414285714,3.7549717914892615,5.789414292857143,3.0754778055720817,-0.6267943000000002,-1.8986894928571436,1.4751649
2023-05-10,23.9125,29.4,20.3,84.33333333333333,0.1,1.034166666666667,1006.5416666666666,228.625,24,251.76245538723708,100.65416666666668,5.487,Complete,1.0789094,5,2,130,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.7865965660866021,-0.6174672802835514,-0.949767181663491,-0.31295734635088746,1.4751649,4.0849743,4.7117686,11.634761,4.96231,3.4239692666666657,1.7165653550862612,5.720273685714285,3.595328670267284,5.569006978571429,3.2744305113174317,-2.6098093999999996,-2.1450377119047634,1.0789094
2023-05-11,23.84583333333333,29.1,20.3,85.5,0.0,1.08375,1008.2666666666668,200.16666666666663,24,185.66790634259675,100.82666666666668,4.804,Complete,1.4967725,5,3,131,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.7758587728069828,-0.6309066211876704,-0.09876236377396398,-0.995111046819288,1.0789094,1.4751649,4.0849743,9.284961,3.8409882,2.213016199999999,1.6332253216983716,4.212294885714285,2.8343556380180086,5.291621221428572,3.4873434045942395,-0.3962555000000001,-3.0786050214285727,1.4967725
2023-05-12,23.40833333333333,25.9,21.6,94.16666666666669,11.5,1.4129166666666666,1009.0708333333332,222.91666666666663,24,156.75569994227726,100.90708333333332,5.35,Complete,4.2880116,5,4,132,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.7648913904341226,-0.6441592666722685,0.3946524505456952,-0.9188304758105695,1.4967725,1.0789094,1.4751649,5.9748545,4.326722,1.3502822666666656,0.23526399356163527,3.099696528571428,1.8787596035088674,5.124177242857143,3.6162490993654837,0.41786310000000015,-3.773894976190477,4.2880116
2023-05-13,23.379166666666663,25.9,21.9,95.91666666666669,18.9,1.6516666666666666,1008.0375,203.79166666666663,24,120.3696148947529,100.80375,4.891,Complete,7.76393,5,5,133,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.753697664392914,-0.6572212950663319,0.862781907799888,-0.5055762846229891,4.2880116,1.4967725,1.0789094,2.8754315,1.9984157,2.2878978333333326,1.7447044741997209,2.8587189714285715,1.5230175066650873,5.121412214285714,3.616920483751698,2.7912391,-2.8335143809523813,7.76393
2023-05-14,22.70833333333333,23.8,22.1,95.45833333333331,17.2,2.5620833333333333,1007.875,78.20833333333333,24,120.00035575711875,100.7875,1.877,Complete,11.593457,5,6,134,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.742280907086982,-0.6700888411055113,0.8660222992012149,-0.5000053772573266,7.76393,4.2880116,1.4967725,4.7117686,4.779608,4.516238033333333,3.1398059272995873,3.5570759,2.400152532724797,5.533234664285715,3.561794102914274,3.4759184000000003,-1.0169966309523817,11.593457
2023-05-15,21.104166666666668,22.5,18.9,96.5,15.6,1.7133333333333332,1007.2416666666668,15.833333333333334,24,99.76856304049464,100.72416666666666,0.38,Complete,7.1335506,5,0,135,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.7306444969184916,-0.6827580970759147,0.9855011404354581,-0.16966880149400332,11.593457,7.76393,4.2880116,4.0849743,5.866241,7.881799533333333,3.6541487439979137,4.540174242857143,3.8954914660621083,6.019938164285714,3.900344377917753,3.8295270000000006,1.8618613690476193,7.1335506
2023-05-16,21.22083333333333,24.8,19.2,96.66666666666669,8.4,0.7854166666666668,1006.4833333333332,74.58333333333333,24,41.88848532947432,100.64833333333333,1.79,Complete,9.626305,5,1,136,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.7187918772884232,-0.6952253139408722,0.6676829585033284,0.7444457447821451,7.1335506,11.593457,7.76393,1.4751649,12.149897,8.830312533333334,2.4136217712680557,4.975685142857143,4.004993306416692,6.110460278571429,3.911194109975894,-4.4599064,2.7198522547619053,9.626305
2023-05-17,23.191666666666663,27.1,19.6,87.29166666666667,2.2,1.30875,1006.7083333333334,188.0,24,62.57669793792115,100.67083333333332,4.512,Complete,6.5539465,5,2,137,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.7067265555776158,-0.7074868024503348,0.8876281495212152,0.4605608191949716,9.626305,7.1335506,11.593457,1.0789094,11.634761,9.4511042,2.2351091168958233,6.1401337285714295,4.002558927949508,5.930203707142857,3.6616325269168826,2.4927544,3.520900492857143,6.5539465
2023-05-18,23.78333333333333,26.4,21.2,95.79166666666669,9.3,1.76625,1005.1625,199.66666666666663,24,46.85509373339647,100.51625,4.792,Complete,3.9113743,5,3,138,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.6944521021088763,-0.719538934232584,0.7296265282515302,0.6838458373578208,6.5539465,9.626305,7.1335506,1.4967725,9.284961,7.771267366666666,1.6324394916800036,6.922281885714286,3.3265554496573535,5.567288385714286,3.2851807308327152,-3.0723585,2.20397898095238,3.9113743
2023-05-19,25.5125,31.2,22.8,92.04166666666669,4.4,1.7679166666666666,1002.5708333333332,188.625,24,12.194518326182465,100.25708333333333,4.527,Complete,5.0121403,5,4,139,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.6819721490904629,-0.7313781428679254,0.2112312829266696,0.9774361079442243,3.9113743,6.5539465,9.626305,4.2880116,5.9748545,6.6972086,2.8601575565732333,7.267224999999999,2.744459239038308,5.183460764285714,3.1275425648669035,-2.6425722000000005,1.5137478357142857,5.0121403
2023-05-20,24.1125,30.5,22.2,95.79166666666669,15.6,1.4108333333333334,1004.725,117.0,24,245.30112858126444,100.4725,2.808,Complete,7.975615,5,5,140,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.6692903895412567,-0.7430009249440493,-0.908516408270004,-0.41784917841749,5.0121403,3.9113743,6.5539465,7.76393,2.8754315,5.159153699999999,1.3274059902260047,7.370671957142858,2.6244721596064506,5.114695464285714,3.119376635970266,1.1007660000000006,0.04445823571428509,7.975615
2023-05-21,23.975,26.4,22.6,90.25,4.6,1.4641666666666666,1008.1,102.125,24,173.32268592258245,100.81,2.451,Complete,4.348223,5,6,141,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.6564105761979381,-0.7544038410927472,0.11627748796199026,-0.993216766770099,7.975615,5.0121403,3.9113743,11.593457,4.7117686,5.6330431999999995,2.1020593296349754,7.400912671428571,2.6309702706581444,5.478994285714286,3.1355186592362982,2.9634747,0.15404891428571332,4.348223
